DrugBank ID,Drug Name,Side Effects/Toxicity
DB04552,Niflumic acid,"Oral, mouse: LD<sub>50</sub> = 350 mg/kg; Oral, rat: LD<sub>50</sub> = 250 mg/kg"
DB04570,Latamoxef,"Latamoxef produces potentially life-threatening effects which include Bleeding, Hypothrombinemia, Platelet dysfunctioning. which are responsible for the discontinuation of Latamoxef therapy. The symptomatic adverse reactions produced by Latamoxef are more or less tolerable and if they become severe, they can be treated symptomatically, these include Diarrhea, Skin rashes, Hematuria, Hyperuricemia, Pyuria, Raised serum creatinine."
DB04573,Estriol,ORAL (LD50): Acute: >2000 mg/kg [Rat].
DB04575,Quinestrol,"Symptoms of overdose include nausea and vomiting, and withdrawal bleeding may occur in females."
DB04586,o-Bromophenol,"Oral, mouse: LD<sub>50</sub> = 652 mg/kg"
DB04620,Cycloleucine,"Oral, mouse: LD<sub>50</sub> = 309 mg/kg; oral, rat: LD<sub>50</sub> = 290 mg/kg"
DB04690,Camptothecin,Acute oral toxicity (LD<sub>50</sub>) in mouse: 50.1 mg/kg
DB04711,Iodipamide,"Ionic radiocontrast agents like iodipamide are cytotoxic to renal cells. The toxic effects include apoptosis, cellular energy failure, disruption of calcium homeostasis, and disturbance of tubular cell polarity, and are thought to be linked to oxidative stress. Acute IV LD50 is 5000 mg/kg in rat, 3195 mg/kg in mouse, and 1200 mg/kg in dog."
DB04743,Nimesulide,Oral TDLO (human): 1.429 mg/kg; Oral TDLO (woman): 2 mg/kg; Oral LD50 (rat): 200 mg/kg; Oral LD50 (mouse): 392 mg/kg
DB04817,Metamizole,"A metamizole overdose (7.5 g) may lead to gastrointestinal toxicity. If less than an hour has passed since metamizole ingestion, gastrointestinal decontamination and supportive measures are suggested as overdose treatment.[A251900] Metamizole can also cause myelotoxicity, leading to drug-induced agranulocytosis.[A251885,A251905]"
DB04821,Nomifensine,"A likely cause of nomifensine toxicity is the aromatic amine group, as compounds containing this chemical substructure are notorious for producing toxic metabolites."
DB04829,Lysergic acid diethylamide,"Estimates for the lethal dosage (LD50) of LSD range from 200 µg/kg to more than 1 mg/kg of human body mass, though most sources report that there are no known human cases of such an overdose."
DB04833,Methaqualone,"Symptoms of overdose include delirium, convulsions, muscle spasms or seizure, cardiac arrest, shortness or loss of breath, vomiting or nausea, and coma or death. The LD50 for mice is 1250 mg/kg and for rats is 326 mg/kg (Strasenburg Labs)."
DB04838,Cyclandelate,Acute oral toxicity (LD50): 3950 mg/kg [Guinea pig]
DB04841,Flunarizine,"-Flunarizine should be used with care in patients with depression or those being prescribed other agents, such as phenothiazines, concurrently, which may cause extrapyramidal side-effects. -Acute overdosage has been reported and the observed symptoms were sedation, agitation and tachycardia. -Treatment of acute overdosage consists of charcoal administration, induction of emesis or gastric lavage, and supportive measures. No specific antidote is known."
DB04843,Mepenzolate,"The signs and symptoms of overdosage are headache; nausea; vomiting; blurred vision; dilated pupils; hot, dry skin; dizziness; dryness of the mouth; difficulty in swallowing; and CNS stimulation. A curare-like action may occur (i.e., neuromuscular blockade leading to muscular weakness and possible  paralysis). The oral LD<sub>50</sub> is greater than 750 mg/kg in mice and greater than 1000 mg/kg in rats."
DB04844,Tetrabenazine,"Dose-limiting adverse effects are sedation, parkinsonism, akathsia, and depression. LD50 oral, mouse: 550 mg/kg"
DB04846,Celiprolol,"No data are available regarding celiprolol overdose in humans. The most common symptoms to be expected following overdosage with beta-adrenoceptor blocking agents are bradycardia, hypotension, bronchospasm and acute cardiac insufficiency."
DB04847,Roxadustat,"There are limited information on the LD<sub>50</sub> values of roxadustat.   Single doses of roxadustat 5 mg/kg (up to 510 mg) in healthy subjects led to a transient increase in heart rate, an increased frequency of mild to moderate musculoskeletal pain, headaches, sinus tachycardia, and less commonly, low blood pressure. All these effects were non-serious in nature. Roxadustat overdose can elevate hemoglobin levels above the desired level (10 - 12 g/dL), which should be managed with discontinuation of roxadustat treatment or reduction of drug dosage with careful monitoring and appropriate supportive treatment. Roxadustat and its metabolites are not significantly removed by hemodialysis.[L40318]"
DB04850,Posizolid,"Clinical signs of acute toxicity lead to decreased activity, ataxia, vomiting and tremors."
DB04854,Febuxostat,"Oral lowest published toxic dose (TDLO) in humans is 1.82 mg/kg/14D (intermittent).[L13056] Oral LD<sub>50</sub> is 300 mg/kg in mice, 3200 mg/kg in rabbits, and 980 mg/kg in rats.[L32273]  No dose-limiting toxicities were observed with febuxostat administered at doses up to 300 mg daily for seven days in healthy subjects. There are no reports of overdose of febuxostat in clinical studies and there is no known antidote. Overdose should be managed by symptomatic and supportive care.[L32238]"
DB04855,Dronedarone,"In an acute toxicity study, the oral LD<sub>50</sub> in rat was >2,000 mg/kg.[L8687]   In oral studies, dronedarone showed a limited potential for toxicity in humans in acute overdose situations.[L8684] However, it is recommended that the patient's cardiac rhythm and blood pressure is monitored in the event of overdose. Symptomatic and supportive treatments should be initiated.[L8699]"
DB04861,Nebivolol,"Patients experiencing an overdose may present with bradycardia, hypotension, cardiac failure, dizziness, hypoglycemia, fatigue, vomiting, bronchospasm and heart block.[L7985] Treat overdose with general supportive measures including intravenous atropine for bradycardia, vasopressors and intravenous fluids for hypotension, isoproterenol infusion for heart block, digitalis glycosides and diuretics for congestive heart failure, bronchodilators for bronchospasm, and intravenous glucose for hypoglycemia.[L7985]"
DB04865,Omacetaxine mepesuccinate,"The most severe adverse effects after homoharringtonine administration are myelosuppression, bleeding, hyperglycemia, and fetal harm."
DB04871,Lorcaserin,"Most common adverse reactions include hypoglycemia (diabetic patients), headache,  back pain,fatigue, decrease in lymphocytes,upper respiratory tract infection, and nasopharyngitis. Moreover, the safety and efficacy of coadministration with other weight loss products has not been established, and cardiovascular effects on mortality and morbidity have not been established."
DB04876,Vildagliptin,"The oral Lowest published toxic dose (TDLO) is 0.3 mg/kg in rats and 1 mg/kg in mice.[L32808]  There is limited information regarding overdose with vildagliptin. In one study, patients experienced muscle pain, mild and transient paresthesia, fever, edema, and a transient increase in lipase levels at a dose of 400 mg. At 600 mg, one subject experienced edema of the feet and hands and increases in creatine phosphokinase (CPK), aspartate aminotransferase (AST), C-reactive protein (CRP) and myoglobin levels. Supportive management is recommended in case of an overdose. There is no known antidote, and vildagliptin and its major metabolite cannot be removed via hemodialysis.[L32803]"
DB04892,Phenserine,"The toxicity of phenserine, a derivate of physostigmine, is dramatically less. Doses of 20 mg/kg (rats, intravenous) of phenserine have not been associated with toxicity or deaths."
DB04894,Vapreotide,"Safety data are limited, however, headache, fatigue, diarrhea, nausea, vomiting, and abdominal pain have been reported commonly with the use of vapreotide."
DB04895,Pegaptanib,"It is not known if pegaptanib is safe in pregnant women or if it is excreted in breast milk. Likewise, no studies have been done in the pediatric population. Most adverse events elated to the drug are ocular however non-ocular adverse events related to the drug or the injection procedure also occurred, among which headaches and rhinorrhoea appeared in more than 1% of patients. Pegaptanib is contraindicated when the patient has an ocular or periocular infection."
DB04896,Milnacipran,"There is limited clinical experience with milnacipran overdose in humans. In clinical trials, cases of acute ingestions up to 1000 mg daily were reported with none being fatal [F3925]. In postmarketing experience, fatal outcomes have been reported for acute overdoses primarily involving multiple drugs but also with milnacipran only [F3925]. The most common signs and symptoms of overdose included increased blood pressure, cardio-respiratory arrest, changes in the level of consciousness (ranging from somnolence to coma), confusional state, dizziness, and increased hepatic enzymes [F3919, F3922, F3925].  There are no adequate and well-controlled studies in pregnant women [F3919, F3922, F3925]. In fact, milnacipram should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus [F3919, F3922, F3925].  Neonates exposed to SSRIs or SNRIs, late in the third trimester have developed complications requiring prolonged hospitalization, respiratory support, and tube feeding [F3919, F3922, F3925]. Such complications can arise immediately upon delivery. Reported clinical findings have included respiratory distress, cyanosis, apnea, seizures, temperature instability, feeding difficulty, vomiting, hypoglycemia, hypotonia, hypertonia, hyperreflexia, tremor, jitteriness, irritability, and constant crying [F3919, F3922, F3925]. These features are consistent with either a direct toxic effect of SNRI class drugs like milnacipran or, possibly, a drug discontinuation syndrome [F3919, F3922, F3925]. It should be noted that, in some cases, the clinical picture is consistent with serotonin syndrome [F3919, F3922, F3925].  The effect of milnacipran on labor and delivery in humans is unknown [F3919, F3922, F3925]. Milnacipran should be used during labor and delivery only if the potential benefits outweigh the potential risks [F3919, F3922, F3925].  There are no adequate and well-controlled studies in nursing mothers [F3919, F3922, F3925]. It is not known if milnacipran is excreted in human milk [F3919, F3922, F3925]. Studies have shown that levomilnacipran is excreted into the milk of lactating rats [F3919, F3922, F3925]. Subsequently, possible excretion into human milk possesses the potential for serious adverse reactions in nursing infants [F3919, F3922, F3925]. As a consequence, breastfeeding by women treated with levomilnacipran should be considered only if the potential benefits outweigh the potential risks to the child [F3919, F3922, F3925].  Milnacipran is not indicated for use in children under 18 years of age due to concerns over the potential for agitation-type emotional and behavioral changes, as well as suicidal ideation and/or behavior [F3919, F3922, F3925].  SNRIs like milnacipran have been associated with cases of clinically significant hyponatremia in elderly patients, who may be at greater risk for this adverse event [F3919, F3922, F3925].  Levomilnacipran was not mutagenic when evaluated in vitro in a bacterial mutagenicity study (Ames test) and not genotoxic in a mouse lymphoma study [F3919, F3922, F3925]. It was not clastogenic in an in vivo micronucleus assay in rats [F3919, F3922, F3925].  The potential effects of levomilnacipran on gonadal function, mating behavior, reproductive performance and early pregnancy were evaluated in rats at oral doses of 0, 10, 30, or 100 mg/kg/day [F3919, F3922, F3925]. The NOAEL was 100 mg/kg/day based on reductions in body weight gain and food consumption [F3919, F3922, F3925]. There were no levomilnacipran effects on male and female fertility parameters [F3919, F3922, F3925].  In the rat and rabbit embryo/fetal development studies, decreases in maternal body weight gain and food consumption were noted [F3919, F3922, F3925]. In the fetuses, increases in the incidence of ossification anomalies were noted but were of no toxicological significance [F3919, F3922, F3925]. In both species, the NOAEL was determined to be 100 mg/kg/day, a dose which represents a rat or rabbit animal-to-human exposure margin of 9-fold and 4-fold, respectively relative to the human exposure from 120 mg/day of levomilnacipran [F3919, F3922, F3925].       Material safety data for milnacipran has documented the LD50 oral value in the rat model as being 213 mg/kg [MSDS]."
DB04897,Lucinactant,"Most common adverse reactions associated with the use of lucinactant are endotracheal tube reflux, pallor, endotracheal tube obstruction, and need for dose interruption."
DB04898,Ximelagatran,Hepatotoxicity (liver damage) was reported during trials.
DB04899,Nesiritide,"No data are available with respect to overdosage in humans.  The expected reaction would be excessive hypotension, which should be treated with drug discontinuation or reduction and appropriate measures."
DB04900,Thymalfasin,"There are no reported instances of deliberate or accidental overdosage in humans. Animal toxicology studies have shown no adverse reactions in single doses up to 20 mg/kg and in repeated doses up to 6 mg/kg/day for 13 weeks, which were the highest doses studied. The highest single dose tested in animals represents 800-times the clinical dose."
DB04911,Oritavancin,"The LD50 of oritavancin in rats is >500m mg/kg.[L12870] Prescribing information indicates no experience with overdose during the clinical program for oritavancin, however, an overdose is likely to result in an increased risk of adverse effects, such as headache, nausea vomiting, and diarrhea. This drug is not dialyzable, and in the case of an overdose, supportive measures should be undertaken.[L8492]"
DB04918,Ceftobiprole,"There are no data regarding overdosage with ceftobiprole medocaril. In cases of suspected overdose, discontinue therapy and institute general symptomatic and supportive treatment. Ceftobiprole can be removed from the circulation via hemodialysis, however no information is available on the use of hemodialysis to treat ceftobiprole overdose.[L50442]"
DB04930,Permethrin,"Oral, rat LD<sub>50</sub>: 430 - 4000 mg/kg; skin, rabbit LD<sub>50</sub>: 2000 mg/kg."
DB04931,Afamelanotide,Data regarding symptoms or treatment of afamelanotide overdose are currently unavailable.[L9086]
DB04938,Ospemifene,"Adverse reactions (≥1 percent) include: hot flush, vaginal discharge, muscle spasms, genital discharge, hyperhidrosis."
DB04941,Crofelemer,"The most common adverse effects are cough, flatulence, upper respiratory tract infection, bronchitis, and increased bilirubin."
DB04946,Iloperidone,"The intraperitoneal lowest published toxic dose (TDLo) is 0.03 mg/kg in rats.[L50532]  In pre-marketing trials, there were eight cases of accidental or intentional overdose of iloperidone from doses ranging from 48 mg to 576 mg taken once and 292 mg taken over three days. There were no deaths from overdose. The largest confirmed single ingestion of iloperidone was 576 mg; however, no adverse physical effects were reported for this patient. The next largest confirmed ingestion of iloperidone was 438 mg over four days: This patient experienced extrapyramidal symptoms and a QTc interval of 507 msec with no cardiac sequelae. In general, reported signs and symptoms were those resulting from an exaggeration of the known pharmacological effects of iloperidone, including drowsiness, sedation, tachycardia, and hypotension. There is no known antidote for iloperidone overdose; thus, treatment should be supportive.[L50527]"
DB04948,Lofexidine,"Lofexidine did not exhibit genotoxic, mutagenic nor mutagenic potential. Administration at gestational period showed a reduction in the neonatal weight, survival, and increased abortion.[L2801]"
DB04951,Pirfenidone,"In rats, the oral and intraperitoneal LD<sub>50</sub> are 1295 mg/kg and 430 mg/kg, respectively.[L26821]  There is limited clinical experience with overdosage of pirfenidone. A maximum tolerated pirfenidone dose of 4005 mg per day was tolerated when the drug was administered as five 267 mg capsules three times daily to healthy adult volunteers over a 12-day dose escalation. Overdosage should be managed with supportive and symptomatic care, including monitoring of vital signs and observation of the clinical status of the patient.[L26801]"
DB04953,Ezogabine,"Lethal Dose, acute, oral, rat = 100 mg/kg; Lethal Dose, chronic, oral, rat = 5.1 mg/kg/day, 90-day; Most common adverse effects that lead to discontinuation of therapy include dizziness and somnolence."
DB04970,Lesopitron,"The most commonly reported adverse events in all the panels in one study  were headache, dizziness, and nausea [PMID: 8959472]."
DB04972,Canfosfamide,"Canfosfamide-related toxicities included grade 1-2 nausea, vomiting, fatigue, transient microscopic hematuria, and anemia."
DB04985,Tigapotide,Non-clinical toxicology studies in mice and primates indicated that a treatment for 28 consecutive days by intravenous administration of PCK3145 up to 450 mg/kg/day in mice and 25 mg/kg/day in primates resulted in no clear evidence of toxicity.
DB05013,Ingenol mebutate,"The most common adverse reactions are local skin reactions at the application site, headache, periorbital edema,and nasopharyngitis."
DB05015,Belinostat,"Belinostat is genotoxic according to Ames test and may impair male fertility. Weekly complete blood count should be monitored during treatment to adjust the dosage as intravenous infusion of belinostat is frequently associated with hematologic toxicity such as leukopenia and thrombocytopenia. Incidences of infections such as sepsis, hepatotoxicity, tumor lysis syndrome, gastrointestinal toxicity, and embryo-fetal toxicity may occur.  No specific information is available on the treatment of overdosage of Beleodaq. There is no antidote for Beleodaq and it is not known if Beleodaq is dialyzable. If an overdose occurs, general supportive measures should be instituted as deemed necessary by the treating physician."
DB05018,Migalastat,"The most common adverse reactions reported with migalastat (≥ 10%) during the 6-month placebo-controlled, double-blind phase of its Study 1 clinical studies were headache, nasopharyngitis, urinary tract infection, nausea, and pyrexia [FDA Label, F1107].  In case of overdose, general medical care is recommended [FDA Label, F1107]. Headache and dizziness were the most common adverse reactions reported at doses of migalastat of up to 1250 mg and 2000 mg, respectively [FDA Label, F1107]."
DB05025,Arimoclomol,There is no information regarding the acute toxicity (LD50) or overdose of arimoclomol.
DB05039,Indacaterol,"The expected signs and symptoms associated with overdosage of indacaterol are those of excessive beta-adrenergic stimulation and occurrence or exaggeration of any of the signs and symptoms, e.g., angina, hypertension or hypotension, tachycardia, with rates up to 200 bpm, arrhythmias, nervousness, headache, tremor, dry mouth, palpitation, muscle cramps, nausea, dizziness, fatigue, malaise, hypokalemia, hyperglycemia, metabolic acidosis and insomnia. As with all inhaled sympathomimetic medications, cardiac arrest and even death may be associated with an overdose of indacaterol."
DB05076,Fenretinide,"""Mechanism of fenretinide (4-HPR)-induced cell death"""
DB05084,Abaloparatide,"The LD<sub>50</sub> in rats and mice following intravenous or subcutaneous administration was 42 mg/kg.[L44878]  One clinical study reported an accidental overdose in a patient who received 400 mcg in one day, which is five times the recommended clinical dose. This patient experienced asthenia, headache, nausea, and vertigo. Serum calcium was not assessed on the day of the overdose, but on the following day, the patient’s serum calcium was within the normal range. Other symptoms of overdose may include hypercalcemia, nausea, vomiting, dizziness, tachycardia, orthostatic hypotension, and headache. Since there is no specific antidote for abaloparatide overdose, it is recommended that overdose is managed with drug discontinuation, monitoring of serum calcium and phosphorus, and implementation of appropriate supportive measures, such as hydration. Based on the molecular weight, plasma protein binding and volume of distribution, abaloparatide is not expected to be dialyzable.[L740]"
DB05087,Ganaxolone,"Experience with ganaxolone overdose is limited to a single report of an unintentional overdose in a pediatric patient, in which the patient received ten-fold the prescribed dose. The patient was hospitalized for evaluation and recovered.[L41130] No specific information is available regarding treatment of ganaxolone overdose - patients suspected of overdosage should be closely monitored and receive standard supportive care.[L41130]"
DB05099,Ancrod,"Currently, a new dosing strategy is being investigated in two international phase III trials as part of the 'Ancrod Stroke Program (ASP).' Each of these studies will enroll 650 patients and assess whether a brief, relatively rapid ancrod infusion with no maintenance dosing will be both effective and safe.   Ancrod is contraindicated in patients with known bleeding disorders, unexplained excessive bleeding in the past, platelet counts <100,000 except for Heparin-induced thrombocytopenia, planned surgery, active GIT ulcerations, malignant disease, renal stones, uncontrolled arterial hypertension, active pulmonary tuberculosis, impaired fibrinolysis, severe liver disease, shock, or impending shock. Ancrod should not be given  shortly before delivery or via the intramuscular route.  Ancrod has been listed as pregnancy category X by the FDA. Ancrod should not be used in pregnancy as it may interfere with implantation. It is not teratogenic in animal studies but there were some fetal deaths from placental hemorrhage.  Side effects may include hypersensitivity reactions and pain at the injection site."
DB05136,Bavituximab,Direct clearance of free virus and antibody-dependent cellular cytotoxicity of virus-infected cells appear to be the major mechanisms that contribute to the anti-viral effect of bavituximab
DB05154,Pretomanid,"To this date, there is no documented experience with the treatment of a pretomanid overdose. The FDA label advises that general supportive measures are taken to manage an overdose, such as monitoring vital signs in addition to performing ECG testing for a prolonged QT interval in the case of an overdose.[L8048]"
DB05187,Elafibranor,There is limited information regarding the overdosage and acute toxicity (LD50) of elafibranor.
DB05219,Crisaborole,Hypersensitivity reactions such as contact urticaria may occur and discontinuation of the treatment is advised. No evidence of mutagenic or clastrogenic potential as well as altered effects on fertility. Oral LD50 value for rats is >500mg/kg.
DB05232,Tetrodotoxin,Death has occurred within 17 minutes of ingestion.
DB05239,Cobimetinib,"The most common adverse effects (>20%) for cobimetinib are diarrhea, photosensitivity reactions, nausea, fever and vomiting."
DB05245,Silver sulfadiazine,Acute oral toxicity (LD50) in rat is 10001 mg/kg.
DB05246,Methsuximide,"Acute overdoses may produce nausea, vomiting, and CNS depression including coma with respiratory depression. Levels greater than 40 &#181;g/mL have caused toxicity and coma has been seen at levels of 150 &#181;g/mL."
DB05259,Glatiramer,"In mice given 60 mg/kg/day of glatiramer acetate subcutaneously (15 times the human therapeutic dose of 20 mg/day on a mg/m<sup>2</sup> basis), glatiramer acetate did not increase systemic neoplasms. Similar results were obtained in rats given 30 mg/kg/day of glatiramer acetate subcutaneously (15 times the human therapeutic dose of 20 mg/day on a mg/m<sup>2</sup> basis).[L41940] _In vitro_ studies suggest that glatiramer acetate is non-mutagenic. No adverse effects were observed on reproductive or developmental parameters during _in vivo_ studies.[L41940] Overdose information regarding glatiramer acetate is not readily available. Patients experiencing an overdose are at an increased risk of severe adverse effects such as hepatic injury, lipoatrophy and skin necrosis at the injection site.[L41940] Symptomatic and supportive measures are recommended."
DB05260,Gallium nitrate,"The oral, subcutaneous, and intravenous LD<sub>50</sub> in mice are 4360 mg/kg, 600 mg/kg, and 55 mg/kg, respectively.[L47716]  Rapid intravenous infusion of gallium nitrate or use of doses higher than recommended (200 mg/m<sup>2</sup>) may cause nausea and vomiting and a substantially increased risk of renal insufficiency. In the event of overdosage, further drug administration should be discontinued, serum calcium should be monitored, and the patient should receive vigorous intravenous hydration, with or without diuretics, for two to three days. During this time period, renal function and urinary output should be carefully monitored so that fluid intake and output are balanced.[L47721]"
DB05266,Ibudilast,Neuroprotective role of phosphodiesterase inhibitor ibudilast on neuronal cell death induced by activated microglia
DB05271,Rotigotine,"The most likely symptoms of overdose would be those related to the pharmacodynamic profile of a dopamine agonist, including nausea, vomiting, hypotension, involuntary movements, hallucinations, confusion, convulsions, and other signs of excessive dopaminergic stimulation."
DB05311,Ecallantide,"While there have been no reports of overdose with ecallantide, patients with hereditary angioedema have received single doses up to 90 mg intravenously without evidence of dose-related toxicity [FDA Label]. There are no animal or human studies to assess the carcinogenic or mutagenic potential of ecallantide [FDA Label]. In rats receiving subcutaneous doses up to 25 mg/kg/day, there were no observable effects on fertility reproductive performance [FDA Label].   An approximate lethal dose was identified as 25 mg/kg intravenously in rats and 5 mg/kg intravenously in rabbits [L1458]."
DB05316,Pimavanserin,"LD50 information for pimavanserin is not readily available in the literature. Pre-marketing clinical trials involving pimavanserin in approximately 1200 subjects and patients do not report symptoms of overdose. In healthy subject studies, nausea and vomiting were reported. There are no known antidotes for an overdose with this drug. Cardiovascular monitoring should begin immediately in the case of an overdose and continuous ECG monitoring is recommended. If antiarrhythmic drugs are administered in an overdose of pimavanserin, disopyramide, procainamide, and quinidine should not be used due to their potential for QT-prolonging effects. In the case of an overdose, consider the 57 hour plasma half-life of pimavanserin and the possibility of multiple drug involvement.[L32883]"
DB05332,Romiplostim,"The most common adverse reactions (≥ 5% higher patient incidence in Nplate versus placebo) are arthralgia, dizziness, insomnia, myalgia, pain in extremity, abdominal pain, shoulder pain, dyspepsia, and paresthesia. Headache was the most commonly reported adverse reaction that did not occur at ≥ 5% higher patient incidence in Nplate versus placebo. LD50 = 980 mg/kg."
DB05344,Revakinagene taroretcel,There is no information available regarding the acute toxicity (LD<sub>50</sub>) and overdose of revakinagene taroretcelis.
DB05351,Dexlansoprazole,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.[L49091]  There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.[L48827]"
DB05381,Histamine,"LD<sub>50</sub>=807 mg/kg (mouse, oral). Side effects can lead to hypertension, hypotension, headache, dizziness, nervousness and tachycardia. Large overdoses can lead to seizures."
DB05438,IDM-4,Toxicity is reported to be low for various Monoclonal antibodies.
DB05439,IDD-1,"MoABs have been reported to have low toxicity, as they successfully target the tumor cells."
DB05441,AVAC,Well tolerated and safe in asthma patients.
DB05445,TA-NIC,Appears to be well-tolerated.
DB05448,PX-12,Doses of PX-12 up to 226 mg/m2 were shown to be well tolerated and had minimal toxicity
DB05449,FM-VP4,Clinical trials have indicated that the drug is well-tolerated.
DB05450,Smilagenin,Trials showed that the drug has a good clinical safety profile and is well-tolerated.
DB05455,SR 121463,Phase 11b showed a good clinical safety profile.
DB05457,OSI-7904L,Acceptable clinical safety profile
DB05458,Pozanicline,ABT-089 was shown to be well-tolerated in clinical trials.
DB05461,OPC-28326,10 mg and 40 mg was well tolerated during clinical trials with Raynaud's patients
DB05462,Chlorotoxin I-131,Found safe in clinical trials.
DB05467,Palovarotene,"Palovarotene is contraindicated during pregnancy. Based on the findings in animal studies and class effects of retinoids, SOHONOS can cause fetal harm when administered during pregnancy. In animal reproduction studies, oral administration of palovarotene to pregnant rats during the period of organogenesis resulted in multiple fetal malformations typical of retinoids (e.g., cleft palate, malformed skull bone, shortening of the long bones) at doses ≥0.25 mg/kg/day (less than the clinical exposure). There are no available human data on palovarotene use in pregnant women. If pregnancy occurs during treatment with palovarotene, discontinue treatment immediately and refer the patient to an obstetrician/gynecologist or other specialist experienced in reproductive toxicity for further evaluation and counseling.[L47830]  No clinical experience with an overdose of palovarotene has been reported. Palovarotene is a derivative of vitamin A. In case of accidental overdose, signs of hypervitaminosis A could appear, including severe headache, nausea or vomiting, drowsiness, irritability, and pruritus. Any overdose should be treated with supportive care according to the signs and symptoms exhibited by the patient.  If an overdose is suspected, patients should be treated with supportive care as clinically indicated.[L47830]  Long-term studies to assess the carcinogenic potential of palovarotene have not been conducted. Palovarotene and its metabolites were negative in the vitro bacterial reverse mutation (Ames) assay and an in vitro micronucleus assay in primary human lymphocyte. Palovarotene did not have any clastogenic effect in the in vivo mouse micronucleus study.[L47830]  Palovarotene effects on fertility and reproductive function were assessed in male and female rats. In a female rat fertility study, palovarotene was orally administered to females for 14 days prior to mating with drug naïve males and up to GD 7 at the dose levels of 0.3, 1, and 3 mg/kg/day. Palovarotene caused prolonged periods of diestrous and reduced ovulation rate, resulting in lower numbers of implantation sites and live embryos at 3 mg/kg/day, a dose associated with maternal toxicity.[L47830]  In a male rat fertility study, palovarotene was orally administered prior to mating, during mating, and up to scheduled euthanasia (approximately 11 weeks in total) at 0.3, 1, and 3 mg/kg/day. Palovarotene did not cause adverse effects on mating, fertility indices, conception rate, reproductive organ weights, or sperm parameters up to 1 mg/kg/day (less than the clinical exposure). Males did not tolerate 3 mg/kg/day, as it produced severe systemic toxicity including deaths, adverse skin and hair coat clinical signs, and substantially reduced body weight.[L47830]"
DB05468,R411,"Good safety profile observed in preclinical and clinical studies"
DB05470,VX-702,"good tolerability with three months of treatment,"
DB05472,Human interferon omega-1,Clinical trial results suggested a favorable overall safety profile for interferon omega.
DB05474,T487,Well-tolerated in clinical trials for psorasis.
DB05475,Golotimod,No adverse effects were observed in any patients participating in clinical trials.
DB05478,Pradefovir mesylate,Good safety profile.
DB05481,Recombinant alpha 1-antitrypsin,Well tolerated in clinical trials.
DB05487,Custirsen,safe and well tolerated in a Phase I trial in healthy human volunteers.
DB05490,Ibrigampar,"In preclinical studies comparing T131 to Avandia, T131 demonstrated superior potency and an improved side effect profile. In these studies, T131 treatment did not result in fluid retention or cardiac hypertrophy. In Phase 1 studies with T131, all doses were well tolerated and no serious adverse events were observed."
DB05492,Epicept NP-1,Mild sensitivity at application site
DB05493,Fexapotide,"The results of the trial demonstrated the excellent safety and side effect profile of NX-1207. In particular, patients given NX-1207 had no (0%) significant sexual side effects"
DB05501,Mavorixafor,There is no information available regarding the LD50 and overdose of mavorixafor.
DB05502,AG-858,Well-tolerated — it’s designed to leave your healthy cells alone so the side effects of most conventional cancer treatments are minimized
DB05521,Telaprevir,"Serious skin reactions, including Stevens Johnson Syndrome, Drug Reaction with Eosinophilia and Systemic Symptoms, and Toxic Epidermal Necrolysis, have been reported in patients treated with telaprevir combination treatment. Use of [DB00811], [DB00008], [DB00022] and Telaprevir is associated with a further increase in anemia frequency than in [DB00811], [DB00008], and [DB00022] without telaprevir."
DB05528,Mipomersen,"The FDA label includes a black box warning of mipomersem induced hepatoxicity. Other less serious adverse effects include nausea, headache, fatigue, local injection site reactions, and flu-like symptoms."
DB05541,Brivaracetam,No carcinogenesis or fertility impairment found. Overdose is associated with somnolence and dizziness [FDA Label].
DB05578,Ramucirumab,"Ramucirumab packaging includes warnings for arterial thromboembolic events, hypertension, infusion-related reactions, gastrointestinal perforation, clinical deterioration in patients with cirrhosis, and reversible posterior leukoencephalopathy syndrome. The most common reactions observed in single-agent-treated patients at a rate of >10% and >2% higher than placebo were hypertension and diarrhea. The most common adverse reactions observed in patients treated with ramucirumab plus paclitaxel at a rate of of >30% and >2% higher than placebo plus paclitaxel were fatigue, neutropenia, diarrhea, and epistaxis."
DB05630,Sodium stibogluconate,"The main symptoms of antimony overdosage are gastro-intestinal disturbances (nausea, vomiting and severe diarrhoea). Haemorrhagic nephritis and hepatitis may also occur."
DB05631,ALT-2074,IC50 2.0–2.6 μM.
DB05667,Levoketoconazole,"Toxicity information regarding levoketoconazole is not readily available. Patients experiencing an overdose are at an increased risk of severe adverse effects such as nausea, vomiting, hypokalemia, hemorrhage, systemic hypertension, headache, hepatic injury, abnormal uterine bleeding, erythema, fatigue, abdominal pain/dyspepsia, arthritis, upper respiratory infection, myalgia, arrhythmia, back pain, insomnia/sleep disturbances, and peripheral edema. Symptomatic and supportive measures are recommended; within the first hour following ingestion, activated charcoal may be beneficial.[L39563]"
